,EmploymentStatus,PercentOfTotal
2,Not available,42.43501028614176
6,Retired,30.69182389937107
7,Not employed,29.101796407185628
0,Full-time,28.954657560235248
5,Part-time,24.816176470588236
3,Self-employed,20.476035213563744
4,Other,12.270099842354178
1,Employed,8.740084964796054
